season,team1,team2,toss_winner,toss_decision,venue,winner,result,result_margin,target_runs
1,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Kolkata Knight Riders,runs,140.0,223.0
1,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,runs,33.0,241.0
1,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Feroz Shah Kotla,Delhi Capitals,wickets,9.0,130.0
1,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Wankhede Stadium,Royal Challengers Bangalore,wickets,5.0,166.0
1,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Eden Gardens,Kolkata Knight Riders,wickets,5.0,111.0
1,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Sawai Mansingh Stadium,Rajasthan Royals,wickets,6.0,167.0
1,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal",Delhi Capitals,wickets,9.0,143.0
1,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,runs,6.0,209.0
1,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,wickets,3.0,215.0
1,Punjab Kings,Mumbai Indians,Mumbai Indians,field,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,runs,66.0,183.0
1,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,wickets,7.0,136.0
1,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,M Chinnaswamy Stadium,Rajasthan Royals,wickets,9.0,148.0
1,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Dr DY Patil Sports Academy,Deccan Chargers,wickets,10.0,155.0
1,Punjab Kings,Delhi Capitals,Delhi Capitals,bat,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,wickets,4.0,159.0
1,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,M Chinnaswamy Stadium,Chennai Super Kings,runs,13.0,179.0
1,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Eden Gardens,Mumbai Indians,wickets,7.0,138.0
1,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Feroz Shah Kotla,Delhi Capitals,runs,10.0,192.0
1,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Sawai Mansingh Stadium,Rajasthan Royals,wickets,7.0,165.0
1,Deccan Chargers,Punjab Kings,Punjab Kings,field,"Rajiv Gandhi International Stadium, Uppal",Punjab Kings,runs,45.0,197.0
1,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Delhi Capitals,wickets,8.0,170.0
1,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,runs,9.0,179.0
1,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,runs,3.0,157.0
1,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Sawai Mansingh Stadium,Rajasthan Royals,runs,29.0,163.0
1,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Dr DY Patil Sports Academy,Mumbai Indians,wickets,8.0,110.0
1,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,M Chinnaswamy Stadium,Punjab Kings,wickets,6.0,127.0
1,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,"MA Chidambaram Stadium, Chepauk",Deccan Chargers,wickets,7.0,145.0
1,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Dr DY Patil Sports Academy,Mumbai Indians,wickets,7.0,104.0
1,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Feroz Shah Kotla,Chennai Super Kings,wickets,4.0,188.0
